,0,Model
0,0.6318033431180082,CNN3 (ETo)
1,0.6997651341944173,CNN3 (ETo)
2,0.7634289304275698,CNN3 (ETo)
3,0.8025179116924915,CNN3 (ETo)
4,0.8144883216174049,CNN3 (ETo)
5,0.8430574023255707,CNN3 (ETo)
6,0.8537766190379739,CNN3 (ETo)
7,0.8792656572411722,CNN3 (ETo)
8,0.8977195874853094,CNN3 (ETo)
9,0.9458180091429051,CNN3 (ETo)
0,0.6290860620863512,CNN3 (ETo)
1,0.6949532069075004,CNN3 (ETo)
2,0.7723902621314629,CNN3 (ETo)
3,0.8507655368555163,CNN3 (ETo)
4,0.9057744441542563,CNN3 (ETo)
5,0.9581151751387333,CNN3 (ETo)
6,0.9826354488219737,CNN3 (ETo)
7,1.0209633200433084,CNN3 (ETo)
8,1.065931652937663,CNN3 (ETo)
9,1.1148699396302508,CNN3 (ETo)
0,0.6064688221525133,CNN3 (ETo)
1,0.613988861125858,CNN3 (ETo)
2,0.6416547797603385,CNN3 (ETo)
3,0.6685311413334661,CNN3 (ETo)
4,0.6900479109209373,CNN3 (ETo)
5,0.7159034253882183,CNN3 (ETo)
6,0.7441316133901681,CNN3 (ETo)
7,0.7718665977231163,CNN3 (ETo)
8,0.7961036022089173,CNN3 (ETo)
9,0.8196712560743703,CNN3 (ETo)
0,0.7312636262263043,CNN3 (ETo)
1,0.9113737532390158,CNN3 (ETo)
2,1.0180350231442654,CNN3 (ETo)
3,1.0718084422417904,CNN3 (ETo)
4,1.082731339677421,CNN3 (ETo)
5,1.1269052617761819,CNN3 (ETo)
6,1.150304543343015,CNN3 (ETo)
7,1.1973810116384718,CNN3 (ETo)
8,1.253204256969002,CNN3 (ETo)
9,1.313377339990319,CNN3 (ETo)
0,0.6346881899013133,CNN3 (ETo)
1,0.7134078730466317,CNN3 (ETo)
2,0.7857752521171898,CNN3 (ETo)
3,0.8274168710617559,CNN3 (ETo)
4,0.8518963378151806,CNN3 (ETo)
5,0.8868853069827058,CNN3 (ETo)
6,0.9127921101410456,CNN3 (ETo)
7,0.932546614867305,CNN3 (ETo)
8,0.9413107460370224,CNN3 (ETo)
9,0.9730362562472809,CNN3 (ETo)
